school_name,urn,borough,lsoa_code,lsoa_name,lon,lat,primary_secondary,school_type,admissions_type,gender,denomination,num_pupils,num_boys,num_girls,boy_girl_r,pupils_per_teacher,pct_esl,pct_fsm,pct_attainment,pct_absences,pct_unaut_absence,mean_distance,income_score,employment_score,crime_score,education_skills_score,health_score,ofsted
Southville Junior School,102497,Hounslow,E01002603,Hounslow 025E,-0.421478658,51.44900724,Primary,NA,NA,Mixed,NA,353,200,155,1.3,21.3,NA,0.21,0.6,NA,NA,NA,0.164,0.088,0.311,33.235,0.397,2
Southville Infant and Nursery School,102498,Hounslow,E01002603,Hounslow 025E,-0.421478658,51.44900724,Primary,NA,NA,Mixed,NA,357,190,170,1.1,18.5,NA,0.19,NA,NA,NA,NA,0.164,0.088,0.311,33.235,0.397,2
Sparrow Farm Infant and Nursery School,102499,Hounslow,E01002594,Hounslow 024C,-0.401882558,51.45298618,Primary,NA,NA,Mixed,NA,306,155,150,1,17.7,NA,0.178,NA,NA,NA,NA,0.152,0.097,0.234,14.14,0.027,3
Spring Grove Primary School,102500,Hounslow,E01002643,Hounslow 015B,-0.348579803,51.47350547,Primary,Community school,Not applicable,Mixed,No religious character,294,150,145,1,21.6,0.758,0.067,0.87,0.0559556,0.0163043,0.996105578,0.139,0.086,0.372,9.325,0.055,1
Springwell Junior School,102501,Hounslow,E01002619,Hounslow 010A,-0.383317086,51.48106684,Primary,NA,NA,Mixed,NA,367,180,185,1,20.1,NA,0.117,0.66,NA,NA,NA,0.127,0.062,0.502,11.638,-0.522,2
Springwell Infant and Nursery School,102502,Hounslow,E01002619,Hounslow 010A,-0.385157908,51.48195551,Primary,NA,NA,Mixed,NA,483,270,215,1.3,22.7,NA,0.116,NA,NA,NA,NA,0.127,0.062,0.502,11.638,-0.522,2
Strand-on-the-Green Junior School,102503,Hounslow,E01002581,Hounslow 008D,-0.280348991,51.48746176,Primary,Community school,Not applicable,Mixed,No religious character,339,170,170,1,15.8,0.47,0.189,0.74,0.0515654,0.0069611,1.291428791,0.069,0.048,0.575,2.864,-0.705,2
Strand-on-the-Green Infant and Nursery School,102504,Hounslow,E01002581,Hounslow 008D,-0.280348991,51.48746176,Primary,Community school,Not applicable,Mixed,No religious character,334,170,165,1,21.4,0.27,0.167,NA,0.0496055,0.0099965,NA,0.069,0.048,0.575,2.864,-0.705,1
Wellington Primary School,102505,Hounslow,E01002621,Hounslow 011B,-0.376881182,51.47453024,Primary,Community school,Not applicable,Mixed,No religious character,523,255,270,0.9,22,0.931,0.138,0.9,0.0577343,0.0187058,1.499184755,0.124,0.083,0.124,11.988,-0.227,2
Worple Primary School,102506,Hounslow,E01002667,Hounslow 020A,-0.324489365,51.46564598,Primary,Community school,Not applicable,Mixed,No religious character,215,120,95,1.3,17.5,0.397,0.244,0.71,0.0469659,0.0379414,0.953718281,0.145,0.097,0.593,8.086,-0.054,2
